model_name,candidate_status,primary_performance,domain_performance,mui_score,mui_win_frequency,mean_rank,rank_std,p_rank_1,p_rank_top3,representation_stability,subset_stability,statistical_support,effect_size_summary,pareto_status,fragmentation,latency,throughput,parameters,decision_role
answerdotai/ModernBERT-base,Strong Candidate,"Top-1: 56.04%, Loss: 2.3063","Rare Top-1: 29.09%, Shift: -11.04%",68.29,0.5,1.0,0.0,1.0,1.0,Mean Rank: 1.0 (std: 0.00),Mean Rank: 1.0 (std: 0.00),"6W-0L (0 ties, p_holm < 0.05)",6 large,Pareto-Optimal,63.28,458.59,2.18,149.0,Primary DAPT Candidate
roberta-base,Strong Candidate,"Top-1: 47.03%, Loss: 2.7948","Rare Top-1: 30.07%, Shift: 2.97%",56.7,0.0,2.0,0.0,0.0,1.0,Mean Rank: 2.0 (std: 0.00),Mean Rank: 2.0 (std: 0.00),"5W-1L (0 ties, p_holm < 0.05)",6 large,Pareto-Optimal,65.07,382.75,2.61,125.0,Runner-Up Capability Benchmark
allenai/scibert_scivocab_uncased,Strong Candidate,"Top-1: 31.24%, Loss: 4.2628","Rare Top-1: 6.44%, Shift: 3.76%",37.09,0.0,3.05,0.22,0.0,0.951,Mean Rank: 3.6 (std: 0.89),Mean Rank: 3.2 (std: 0.45),"3W-2L (1 ties, p_holm < 0.05)","4 large, 2 small",Pareto-Optimal,42.09,323.41,3.09,110.0,High-Viability Alternative
bert-base-uncased,Competitive Candidate,"Top-1: 29.08%, Loss: 4.6237","Rare Top-1: 54.35%, Shift: 10.92%",59.25,0.5,4.34,0.55,0.0,0.0415,Mean Rank: 4.6 (std: 1.14),Mean Rank: 4.2 (std: 0.45),"2W-2L (2 ties, p_holm < 0.05)","1 small, 3 large, 1 medium, 1 negligible",Pareto-Optimal,26.57,174.86,5.72,110.0,Resource-Constrained & Vocabulary Alternative
nlpaueb/legal-bert-base-uncased,Competitive Candidate,"Top-1: 28.66%, Loss: 4.4541","Rare Top-1: 4.49%, Shift: 6.34%",27.08,0.0,4.61,0.5,0.0,0.0075,Mean Rank: 4.4 (std: 1.14),Mean Rank: 4.6 (std: 0.89),"2W-3L (1 ties, p_holm < 0.05)","1 small, 4 large, 1 negligible",Pareto-Optimal,37.91,249.28,4.01,110.0,Secondary Benchmark Alternative
dmis-lab/biobert-base-cased-v1.2,Weak Candidate,"Top-1: 24.65%, Loss: 4.9969","Rare Top-1: 32.35%, Shift: 10.35%",42.24,0.0,6.0,0.0,0.0,0.0,Mean Rank: 5.8 (std: 1.10),Mean Rank: 6.0 (std: 0.00),"1W-5L (0 ties, p_holm < 0.05)","5 large, 1 medium",Pareto-Optimal,35.52,154.06,6.49,110.0,Baseline Reference / Dominated
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,Weak Candidate,"Top-1: 20.59%, Loss: 5.7259","Rare Top-1: 3.40%, Shift: 19.41%",23.72,0.0,7.0,0.0,0.0,0.0,Mean Rank: 6.6 (std: 0.89),Mean Rank: 7.0 (std: 0.00),"0W-6L (0 ties, p_holm < 0.05)",6 large,Dominated,42.69,326.75,3.06,110.0,Baseline Reference / Dominated
