model_name,representation,subset,domain_shift_gap,mlm_loss,mlm_loss_derived_exponential,top1_acc,top5_acc,top10_acc,rare_top1_acc,performance_gap,nav_acc,weather_acc,safety_acc,machinery_acc,vessel_acc,casualty_acc,eval_time_sec
allenai/scibert_scivocab_uncased,json,balanced_knowledge,0.2386700696695868,5.982716720339477,396.51612965647274,0.12975098296199214,0.32503276539973786,0.3984272608125819,0.18085106382978725,0.6018564471974345,0.1562,0.04,0.0333,0.0,0.1441,0.1881,7.967082977294922
allenai/scibert_scivocab_uncased,json,high_knowledge,0.23448087057696254,5.926941553154211,375.0058227391302,0.13394018205461639,0.34980494148244473,0.41482444733420026,0.18947368421052632,0.609289213348692,0.1742,0.0227,0.027,0.4,0.1559,0.1927,7.055996656417847
allenai/scibert_scivocab_uncased,json,low_knowledge,0.227978919991787,5.7979343526673315,329.6179816972001,0.14044213263979194,0.33159947984395316,0.41222366710013003,0.1839080459770115,0.5909295552536351,0.128,0.0208,0.0,0.0,0.173,0.2152,7.070919990539551
allenai/scibert_scivocab_uncased,json,medium_knowledge,0.21122158103316413,5.716650327602389,303.8853000073824,0.1571994715984148,0.34081902245706736,0.4081902245706737,0.24,0.5794657337208895,0.1905,0.05,0.1429,0.1538,0.179,0.1228,7.987261056900024
allenai/scibert_scivocab_uncased,json,random_baseline,0.2373156541739954,6.0308803723509135,416.0811745481048,0.13110539845758354,0.3213367609254499,0.38688946015424164,0.11428571428571428,0.6013777443157967,0.0741,0.0222,0.0571,0.0,0.1566,0.1856,7.882505416870117
allenai/scibert_scivocab_uncased,key_value,balanced_knowledge,0.01664922894964288,3.9983647195295426,54.508939706504485,0.35177182368193605,0.48660328435609335,0.5626620570440796,0.6274509803921569,0.08292474623890828,0.623,0.0923,0.125,0.2222,0.2899,0.175,4.618122816085815
allenai/scibert_scivocab_uncased,key_value,high_knowledge,-0.04369120733887899,3.481403051319555,32.505296696043885,0.4121122599704579,0.568685376661743,0.6410635155096012,0.7222222222222222,0.06422550680962252,0.6381,0.1068,0.5,0.4286,0.3645,0.2321,5.199447154998779
allenai/scibert_scivocab_uncased,key_value,low_knowledge,0.08426804716709807,4.339168066923675,76.64375033688579,0.28415300546448086,0.44808743169398907,0.5333333333333333,0.5897435897435898,0.12134272420503267,0.5938,0.0943,0.2857,0.1667,0.2531,0.2759,4.515884876251221
allenai/scibert_scivocab_uncased,key_value,medium_knowledge,-0.004338803999245466,3.77823191042003,43.738639495956626,0.3727598566308244,0.5385304659498208,0.6129032258064516,0.7128712871287128,0.0961080678974775,0.5749,0.0769,0.1538,0.4444,0.3804,0.2593,4.996854543685913
allenai/scibert_scivocab_uncased,key_value,random_baseline,0.01381112355356473,3.9037185526671783,49.58649669767049,0.3546099290780142,0.5124113475177305,0.5939716312056738,0.6555555555555556,0.11228662264612371,0.6454,0.1463,0.5,0.2,0.3216,0.2727,4.215140104293823
allenai/scibert_scivocab_uncased,mixed,balanced_knowledge,-0.0955834468059914,3.244257655946726,25.642667311378396,0.46400449943757033,0.5922384701912261,0.6529808773903262,0.7160493827160493,0.09144596166434499,0.7237,0.2222,0.5882,0.5714,0.4151,0.3625,6.3781678676605225
allenai/scibert_scivocab_uncased,mixed,high_knowledge,-0.16450173277817953,2.8134937222396252,16.668050148743983,0.5329227854097585,0.650876361913785,0.7119848413074372,0.6515837104072398,0.03599345991888525,0.7404,0.3356,0.1667,0.6875,0.4611,0.5,6.439260005950928
