model_name,pareto_status,dominated_by_count,dominated_by,dominates_count,dominates,evaluated_objectives
allenai/scibert_scivocab_uncased,Pareto-Optimal,0,None,1,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
answerdotai/ModernBERT-base,Pareto-Optimal,0,None,0,None,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
bert-base-uncased,Pareto-Optimal,0,None,1,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
dmis-lab/biobert-base-cased-v1.2,Pareto-Optimal,0,None,1,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
nlpaueb/legal-bert-base-uncased,Pareto-Optimal,0,None,0,None,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
roberta-base,Pareto-Optimal,0,None,0,None,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,Dominated,3,"allenai/scibert_scivocab_uncased, bert-base-uncased, dmis-lab/biobert-base-cased-v1.2",0,None,"top1_acc, rare_top1_acc, top5_acc, top10_acc, mlm_loss, pseudo_perplexity, fragmentation_rate_pct, oov_rate_pct, throughput_docs_sec"
