model_name,observations_count,raw__top1_acc,raw__top5_acc,raw__top10_acc,raw__rare_top1_acc,raw__mlm_loss,raw__pseudo_perplexity,raw__category_balance,raw__domain_shift_gap_pct,raw__performance_gap_pct,raw__top1_ci_error,raw__fragmentation_rate_pct,raw__oov_rate_pct,raw__single_token_coverage_pct,raw__tokenizer_speed_tok_sec,raw__inference_latency_ms,raw__throughput_docs_sec,raw__params_millions,raw__disk_size_mb,norm__top1_acc,norm__top5_acc,norm__top10_acc,norm__rare_top1_acc,norm__category_balance,norm__mlm_loss,norm__pseudo_perplexity,norm__single_token_coverage_pct,norm__fragmentation_rate_pct,norm__oov_rate_pct,norm__tokenizer_speed_tok_sec,norm__throughput_docs_sec,norm__inference_latency_ms,norm__params_millions,norm__disk_size_mb
allenai/scibert_scivocab_uncased,25,0.3261707120549323,0.4975860042755428,0.5686814867035563,0.5113042498673862,4.206423296056263,33.270422663573264,0.9032896092058585,4.22503405766466,17.276546102134372,4.40594373597926,41.79,0.0,58.209999999999994,41486.163072380725,23.819523525238036,41.98236790674874,110,440,0.22025630882362682,0.3410617610328979,0.3976427991601485,0.5872914965771716,0.7678035845062402,0.3542127244841369,0.7388486516517782,0.601674954200471,0.6016749542004711,1.0,0.627710312409942,0.7420763260689219,0.8246831375394524,1.0,1.0
answerdotai/ModernBERT-base,25,0.7305288165009738,0.8541974273072157,0.8786672861535472,0.7051279010442895,1.4385833002567185,15.454746660749215,0.725860405674611,-28.052881650097376,-16.663450223739318,4.895543983348459,62.99,,37.01,46797.48772555588,35.04294414520263,28.536415087055396,149,590,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.04684637529442553,0.04684637529442552,,1.0,0.0,0.0,0.0,0.0
bert-base-uncased,25,0.29726714399115994,0.466856254193208,0.5385628062473632,0.5044451777864681,4.616402623386017,24.6711666188323,0.9052514205840883,9.162174489772896,18.491649136244575,4.181190633107867,26.57,0.0,73.42999999999999,42072.748156699534,21.433570909500123,46.65578144782045,110,440,0.1645201318992421,0.28428004823466707,0.3391168793122966,0.5726864813677464,0.7762930878030558,0.25855711100362305,0.8649009726818486,1.0,1.0,1.0,0.6688261530045266,1.0,1.0,1.0,1.0
dmis-lab/biobert-base-cased-v1.2,25,0.2578411390878142,0.3963791224487604,0.47026709659717786,0.30818533820496247,4.786731563028985,83.67448251701767,0.9370164822089673,15.392356679453876,15.839464954100556,4.36233806892592,35.52,0.0,64.48,32917.698770147304,24.74508562088013,40.41206465481739,110,440,0.08849302064895946,0.15405405411385031,0.20640624364044025,0.15479060445146406,0.9137525797707828,0.21881627987159682,0.0,0.7657681235278725,0.7657681235278723,1.0,0.02711609034557199,0.6554119681291422,0.7566739735895657,1.0,1.0
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,25,0.21195058493362381,0.31300645986439746,0.3640460630357934,0.23548976766585772,5.724576692722618,81.5295623331514,0.956947114712768,15.64704676979551,25.29156331938977,4.751535172518649,42.39,0.0,57.60999999999999,32530.843146822197,23.51817970275879,42.520297601208284,110,440,0.0,0.0,0.0,0.0,1.0,0.0,0.03144134401788619,0.5859722585710546,0.5859722585710547,1.0,0.0,0.7717644334645731,0.8468255108332283,1.0,1.0
nlpaueb/legal-bert-base-uncased,25,0.33048438531948854,0.4917104409350416,0.5610467920283113,0.38708341502147503,4.085250228056725,40.98553866702238,0.9324026322636089,4.451561468051147,12.327791955259872,3.072937146373951,37.61,0.032268832758428845,62.39,44486.91747766461,24.44421925544739,40.909467778446235,110,440,0.22857457789465704,0.3302050326431693,0.3828072379118358,0.3227881992143598,0.8937866978532876,0.3824845991474393,0.6257565104024477,0.7110704004187387,0.7110704004187386,0.0,0.8380438907593253,0.6828634315923402,0.7787812639270408,1.0,1.0
roberta-base,25,0.6332148860737277,0.8112738322800114,0.8360325620049153,0.618457864516688,1.9489529045421592,17.136527004276118,0.7834679975194839,-13.321488607372764,-13.386636848516781,7.864388704927766,64.78,,35.22,39374.3990332129,27.07729864120483,36.93130593456807,125,500,0.8123447447203391,0.9206867859786673,0.9171531949453309,0.8154535793247368,0.24928994006038133,0.8809215139755955,0.975347598133915,0.0,0.0,,0.479689239373912,0.463310398408337,0.5853058304772563,0.6153846153846154,0.6
