ablated_component,mean_score_diff,median_score_diff,std_score_diff,min_score_diff,max_score_diff,spearman_rho_with_full,kendall_tau_with_full,jaccard_selection_overlap_p80,selection_impact_interpretation
domain_relevance,-0.0586,-0.0616,0.0244,-0.1202,0.1252,0.963,0.8398,0.6684,Moderate selection impact: component alters borderline selections
information_content,0.1943,0.1991,0.0329,0.0298,0.25,0.9364,0.8452,0.8875,Low selection impact: score shifts have limited effect on top document selection
tfidf_representativeness,-0.0031,0.0031,0.0422,-0.1141,0.1061,0.8582,0.7223,0.6051,Moderate selection impact: component alters borderline selections
redundancy_noise,-0.1489,-0.1493,0.0558,-0.2773,-0.0386,0.8605,0.6745,0.5049,High selection impact: component strongly influences document selection
