model_name,representation,subset,domain_shift_gap,mlm_loss,top1_acc,top5_acc,top10_acc,rare_top1_acc,performance_gap,nav_acc,weather_acc,safety_acc,machinery_acc,vessel_acc,casualty_acc,eval_time_sec
allenai/scibert_scivocab_uncased,json,balanced_knowledge,0.11261620185922974,6.029233409159855,0.15405046480743692,0.32669322709163345,0.3891102257636122,0.15384615384615385,0.5695551854037179,0.1284,0.0182,0.0,0.2,0.1837,0.2766,37.01678419113159
allenai/scibert_scivocab_uncased,json,high_knowledge,0.16598639455782313,6.161006009365831,0.10068027210884353,0.291156462585034,0.3891156462585034,0.1,0.6530981578251256,0.08,0.0789,0.0286,0.0,0.1212,0.1111,36.41062092781067
allenai/scibert_scivocab_uncased,json,low_knowledge,0.14424398625429552,6.0323437006196565,0.12242268041237113,0.31572164948453607,0.37628865979381443,0.14084507042253522,0.5947607446818045,0.1154,0.0426,0.0,0.0,0.1417,0.2,37.631356716156006
allenai/scibert_scivocab_uncased,json,medium_knowledge,0.12029360967184802,6.020726735441261,0.14637305699481865,0.31476683937823835,0.3756476683937824,0.16216216216216217,0.5899905793688177,0.1545,0.1064,0.0,0.2143,0.1697,0.0563,37.092120885849
allenai/scibert_scivocab_uncased,json,random_baseline,0.13271441202475684,5.964499837151187,0.13395225464190982,0.3275862068965517,0.39389920424403185,0.19753086419753085,0.5983254908548943,0.1545,0.0192,0.0,0.2727,0.1546,0.1429,36.64480018615723
allenai/scibert_scivocab_uncased,key_value,balanced_knowledge,-0.08245125348189414,3.896335344582004,0.3491179201485608,0.5060352831940576,0.585886722376973,0.6593406593406593,0.08352365565165026,0.6134,0.0597,0.6,0.3333,0.315,0.1957,23.751611948013306
allenai/scibert_scivocab_uncased,key_value,high_knowledge,-0.11765601217656013,3.7479131162627506,0.3843226788432268,0.5243531202435312,0.5905631659056316,0.6517857142857143,0.05613866779018967,0.6318,0.12,0.0,0.1429,0.3137,0.2113,24.241557121276855
allenai/scibert_scivocab_uncased,key_value,low_knowledge,0.02705786471067645,4.699030860911244,0.2396088019559902,0.3899755501222494,0.480440097799511,0.6153846153846154,0.13744679710430735,0.5294,0.04,0.1429,0.1667,0.2407,0.2609,18.54659104347229
allenai/scibert_scivocab_uncased,key_value,medium_knowledge,0.0010731052984573886,4.336480904118226,0.2655935613682093,0.4567404426559356,0.528169014084507,0.6164383561643836,0.15094722413028017,0.5752,0.1765,0.3333,0.4286,0.2497,0.0882,21.06967520713806
allenai/scibert_scivocab_uncased,key_value,random_baseline,-0.08653228162430615,3.9248558618862326,0.3531989482909728,0.5056967572304996,0.5872042068361086,0.7411764705882353,0.08710700448588121,0.63,0.1081,0.1579,0.2222,0.3244,0.25,25.171162128448486
allenai/scibert_scivocab_uncased,mixed,balanced_knowledge,-0.203596975270795,3.3210488486341196,0.4702636419374617,0.5965665236051502,0.6468424279583078,0.6692913385826772,0.08219088086343546,0.721,0.2963,0.0,0.5,0.4279,0.4638,34.908352851867676
allenai/scibert_scivocab_uncased,mixed,high_knowledge,-0.2481848184818482,2.8754267005038416,0.5148514851485149,0.6397925506836398,0.7015558698727016,0.6285714285714286,0.06197858739490125,0.7379,0.3173,0.3077,0.75,0.4471,0.5143,36.9751353263855
allenai/scibert_scivocab_uncased,mixed,low_knowledge,-0.08900343642611686,3.9893682406559647,0.3556701030927835,0.49054982817869414,0.5472508591065293,0.6629213483146067,0.16173685969233048,0.6686,0.2951,0.5,0.375,0.3386,0.2424,28.846801280975342
allenai/scibert_scivocab_uncased,mixed,medium_knowledge,-0.1523474178403756,3.453530718815988,0.41901408450704225,0.5669014084507042,0.6408450704225352,0.7372881355932204,0.12116686280535793,0.7238,0.2231,0.4211,0.5862,0.409,0.5102,33.69491910934448
allenai/scibert_scivocab_uncased,mixed,random_baseline,-0.23427024776181554,3.0212208454828215,0.5009369144284822,0.6283572767020612,0.6876951905059338,0.8661417322834646,0.054840475139773304,0.7607,0.2836,0.7,0.6316,0.4758,0.5294,35.593708753585815
allenai/scibert_scivocab_uncased,narrative,balanced_knowledge,-0.019047619047619035,4.460566649091277,0.2857142857142857,0.49489795918367346,0.54421768707483,0.28378378378378377,0.10520487264673312,0.3646,0.2727,0.0,0.3333,0.2644,0.2,14.36614203453064
allenai/scibert_scivocab_uncased,narrative,high_knowledge,-0.04929078014184396,3.953997734979543,0.3159574468085106,0.5308510638297872,0.6106382978723405,0.1282051282051282,0.0573558965198252,0.3547,0.3684,0.0,0.0833,0.3014,0.6538,15.250455856323242
allenai/scibert_scivocab_uncased,narrative,low_knowledge,0.05396825396825397,5.0587819216026375,0.2126984126984127,0.37777777777777777,0.48253968253968255,0.36363636363636365,0.11158514687926455,0.3286,0.25,0.0,0.25,0.2016,0.3333,10.412959814071655
allenai/scibert_scivocab_uncased,narrative,medium_knowledge,-0.010077519379844968,4.458693718670618,0.27674418604651163,0.43488372093023253,0.49767441860465117,0.6153846153846154,0.10415592372297244,0.6349,0.234,0.6667,0.3333,0.2579,0.3333,13.350055694580078
allenai/scibert_scivocab_uncased,narrative,random_baseline,-0.041165755919854274,4.298124574679959,0.30783242258652094,0.48451730418943534,0.5519125683060109,0.46808510638297873,0.08815490581897006,0.4599,0.4255,0.2,0.1538,0.2861,0.2727,13.776315450668335
allenai/scibert_scivocab_uncased,template,balanced_knowledge,-0.054263565891472854,4.02651878107581,0.3209302325581395,0.5023255813953489,0.5875968992248062,0.4594594594594595,0.03484866191422231,0.3958,0.1837,0.25,0.125,0.344,0.2391,14.36902928352356
allenai/scibert_scivocab_uncased,template,high_knowledge,-0.03727034120734907,4.222057047907612,0.30393700787401573,0.4755905511811024,0.5622047244094488,0.48936170212765956,0.05389046816432291,0.4912,0.1957,0.3333,0.25,0.3291,0.2069,14.709919452667236
allenai/scibert_scivocab_uncased,template,low_knowledge,-0.11243781094527361,3.7249847312159465,0.37910447761194027,0.5567164179104478,0.6313432835820896,0.53125,-0.026936917943162886,0.5122,0.2381,0.5,0.25,0.3964,0.2222,13.538761854171753
allenai/scibert_scivocab_uncased,template,medium_knowledge,-0.03793103448275864,4.196271119812228,0.3045977011494253,0.4899425287356322,0.5531609195402298,0.391304347826087,0.03439381158147836,0.38,0.2,0.1538,0.3529,0.313,0.1481,14.295955419540405
allenai/scibert_scivocab_uncased,template,random_baseline,-0.09298245614035089,3.8970565798661174,0.35964912280701755,0.5394736842105263,0.6198830409356725,0.625,0.010702885125555561,0.6,0.3333,0.2353,0.2308,0.3715,0.2593,16.122865438461304
answerdotai/ModernBERT-base,json,balanced_knowledge,-0.15257731958762888,2.6091150396981173,0.5525773195876289,0.6969072164948453,0.7443298969072165,0.7777777777777778,0.16626246697688063,0.7778,0.0,0.6364,0.0,0.53,0.7059,135.77144980430603
answerdotai/ModernBERT-base,json,high_knowledge,-0.1573770491803278,2.654528503632495,0.5573770491803278,0.6639344262295082,0.7172131147540983,0.72,0.17066587654686793,0.72,0.0,0.5,0.0,0.5585,0.7714,107.53241467475891
answerdotai/ModernBERT-base,json,low_knowledge,-0.18606557377049182,2.4301521111041526,0.5860655737704918,0.7049180327868853,0.7622950819672131,0.5714285714285714,0.12532789174193482,0.5714,0.0,0.6714,0.0,0.5761,0.64,177.45539236068726
answerdotai/ModernBERT-base,json,medium_knowledge,-0.2234817813765182,2.153362423319276,0.6234817813765182,0.7550607287449392,0.7995951417004049,0.65,0.11032503680529993,0.65,0.0,0.6716,0.0,0.6156,0.8148,101.00230312347412
answerdotai/ModernBERT-base,json,random_baseline,-0.20460652591170825,2.2426129681076215,0.6046065259117083,0.72552783109405,0.7677543186180422,0.8604651162790697,0.12143237152777686,0.8605,0.0,0.6667,0.0,0.5763,0.8108,115.98512268066406
answerdotai/ModernBERT-base,key_value,balanced_knowledge,-0.46713286713286706,0.7328684178013043,0.8671328671328671,0.9090909090909091,0.9265734265734266,0.8333333333333334,-0.3136085933160887,0.3939,0.0,1.0,0.0,0.9325,0.9773,112.384108543396
answerdotai/ModernBERT-base,key_value,high_knowledge,-0.46407766990291255,0.791839195853232,0.8640776699029126,0.9061488673139159,0.9093851132686084,0.7352941176470589,-0.3092053017270229,0.5345,0.0,0.0,0.0,0.9555,0.8537,78.82811093330383
answerdotai/ModernBERT-base,key_value,low_knowledge,-0.46016949152542375,0.8327899339614521,0.8601694915254238,0.923728813559322,0.923728813559322,0.5,-0.30981319698860665,0.4,0.0,0.5,0.0,0.9054,0.6774,67.27719044685364
answerdotai/ModernBERT-base,key_value,medium_knowledge,-0.48749999999999993,0.4968407414656563,0.8875,0.9583333333333334,0.9625,1.0,-0.3412518187487008,0.125,0.0,0.0,0.0,0.9258,0.8919,70.5687620639801
answerdotai/ModernBERT-base,key_value,random_baseline,-0.45611510791366905,0.8037186250509891,0.8561151079136691,0.9028776978417267,0.9100719424460432,0.8888888888888888,-0.29094876740486286,0.375,0.0,0.0,0.0,0.9424,0.7561,90.0667872428894
answerdotai/ModernBERT-base,mixed,balanced_knowledge,-0.44375,0.8108291343581565,0.84375,0.9034090909090909,0.9119318181818182,0.8666666666666667,-0.19691042863798724,0.5932,0.4545,0.0,0.0,0.9288,0.8833,110.42724394798279
answerdotai/ModernBERT-base,mixed,high_knowledge,-0.44545454545454544,0.8339138948693698,0.8454545454545455,0.8954545454545455,0.9090909090909091,0.8163265306122449,-0.1978667635533179,0.5795,0.381,0.0,0.0,0.9547,0.8986,108.86427450180054
answerdotai/ModernBERT-base,mixed,low_knowledge,-0.4540145985401459,0.7385658641038775,0.8540145985401459,0.9197080291970803,0.9416058394160584,0.8,-0.1915478727193829,0.3846,0.5,1.0,0.0,0.8937,0.8684,89.17306065559387
answerdotai/ModernBERT-base,mixed,medium_knowledge,-0.4496932515337423,0.6004920905866431,0.8496932515337423,0.9447852760736196,0.9539877300613497,1.0,-0.18510492219721153,0.25,0.375,0.5,0.2,0.903,0.9434,92.70811367034912
answerdotai/ModernBERT-base,mixed,random_baseline,-0.4757225433526011,0.6879160563283503,0.8757225433526011,0.9277456647398844,0.9364161849710982,1.0,-0.2152042506696743,0.5667,0.6,0.0,1.0,0.9327,0.8636,456.15289545059204
answerdotai/ModernBERT-base,narrative,balanced_knowledge,-0.3183908045977011,1.4159928049845918,0.7183908045977011,0.896551724137931,0.9137931034482759,0.7073170731707317,-0.2903039660631014,0.5714,0.8947,0.0,1.0,0.7865,0.9524,48.86346960067749
answerdotai/ModernBERT-base,narrative,high_knowledge,-0.27235494880546074,1.5554022314081895,0.6723549488054608,0.8532423208191127,0.9044368600682594,0.5753424657534246,-0.22014906645251958,0.5735,0.7692,0.0,0.0,0.6781,0.925,64.3352587223053
answerdotai/ModernBERT-base,narrative,low_knowledge,-0.4169014084507042,0.9695607388025245,0.8169014084507042,0.9154929577464789,0.9154929577464789,0.3333333333333333,-0.4200466443433962,0.5333,1.0,0.0,0.0,0.8246,0.9048,33.372995376586914
answerdotai/ModernBERT-base,narrative,medium_knowledge,-0.4316831683168316,0.9592162564256634,0.8316831683168316,0.9306930693069307,0.9306930693069307,0.8571428571428571,-0.4005182666526864,0.6667,0.625,0.0,0.6667,0.9067,0.963,44.36964559555054
answerdotai/ModernBERT-base,narrative,random_baseline,-0.32108843537414966,1.4451739406690556,0.7210884353741497,0.8639455782312925,0.891156462585034,0.5789473684210527,-0.3007062697690541,0.6047,0.625,0.5,0.1667,0.8148,1.0,45.68730187416077
answerdotai/ModernBERT-base,template,balanced_knowledge,-0.1348837209302325,2.7379086587569934,0.5348837209302325,0.7790697674418605,0.8255813953488372,0.75,-0.097564067195061,0.75,1.0,0.0,0.0,0.5325,0.3529,35.14025664329529
answerdotai/ModernBERT-base,template,high_knowledge,-0.09999999999999998,2.634841281075307,0.5,0.7558139534883721,0.7906976744186046,1.0,-0.10633172746042668,1.0,1.0,0.0,0.0,0.4935,0.2632,34.47031784057617
answerdotai/ModernBERT-base,template,low_knowledge,-0.19090909090909092,2.123819824798623,0.5909090909090909,0.8181818181818182,0.8409090909090909,0.0,-0.15765382158824787,0.0,0.0,0.0,0.0,0.6456,0.5357,34.34209108352661
answerdotai/ModernBERT-base,template,medium_knowledge,-0.21764705882352942,1.7042690974746673,0.6176470588235294,0.8823529411764706,0.9411764705882353,0.0,-0.20150781831720033,0.0,1.0,0.0,0.0,0.6349,0.6923,30.719048500061035
answerdotai/ModernBERT-base,template,random_baseline,-0.3142857142857143,1.8507591173706437,0.7142857142857143,0.8367346938775511,0.8877551020408163,1.0,-0.27619941034575185,1.0,0.8333,0.0,0.0,0.7229,0.4615,41.54941129684448
bert-base-uncased,json,balanced_knowledge,0.29462144570058235,6.959953779818343,0.08633093525179857,0.2,0.2633093525179856,0.17543859649122806,0.5922764593676806,0.1591,0.0,0.0526,0.0,0.0835,0.16,29.599395036697388
bert-base-uncased,json,high_knowledge,0.275286224750237,7.157667099659375,0.10566615620214395,0.19601837672281777,0.25880551301684535,0.14772727272727273,0.5886783537992951,0.13,0.0465,0.0,0.5,0.0994,0.2683,87.92200899124146
bert-base-uncased,json,low_knowledge,0.284828349944629,6.878913534987111,0.09612403100775194,0.21085271317829457,0.2651162790697674,0.12389380530973451,0.5929003592361505,0.123,0.0556,0.0,0.4,0.1007,0.0882,29.66969585418701
bert-base-uncased,json,medium_knowledge,0.2500700280112045,6.786557968492236,0.13088235294117648,0.22941176470588234,0.2926470588235294,0.20652173913043478,0.5632268424611224,0.202,0.05,0.0488,0.5,0.1307,0.1111,30.115731239318848
bert-base-uncased,json,random_baseline,0.2897842897842898,6.696975559690879,0.09116809116809117,0.22507122507122507,0.292022792022792,0.16666666666666666,0.5907352974404163,0.156,0.0426,0.0,0.0,0.0835,0.1176,37.87096095085144
bert-base-uncased,key_value,balanced_knowledge,0.08434221146085552,4.695866718970157,0.2966101694915254,0.4364406779661017,0.4978813559322034,0.64,0.12354129577024608,0.4619,0.1233,0.2727,0.25,0.2697,0.4314,64.28010439872742
bert-base-uncased,key_value,high_knowledge,0.05174884112937206,4.341694349048742,0.3292035398230089,0.4911504424778761,0.5592920353982301,0.6782608695652174,0.15187754125807224,0.4484,0.1509,0.1667,0.6364,0.2929,0.5238,55.78646636009216
bert-base-uncased,key_value,low_knowledge,0.17684078036500941,5.270120085815108,0.20411160058737152,0.342143906020558,0.4067547723935389,0.32432432432432434,0.19572846338703873,0.2262,0.1333,0.0,0.0,0.2094,0.2727,49.957382678985596
